"exam_year","question_number","question_text","option_1","option_2","option_3","option_4","option_5","correct_option_number","correct_option_text","subject_name","section_name"
"2019","1","El voto en la Junta General del Principado de Asturias, según el artículo 27 del Estatuto de Autonomía es:","Personal y no delegable","Personal y secreto","Personal y delegable","Obligatorio","","1","Personal y no delegable","LEGISLACION","DERECHO"
"2019","2","La Ley 41/2002, de 14 de noviembre, establece que el consentimiento por representación se otorgará en los siguientes supuestos:","Cuando el paciente tenga la capacidad modificada judicialmente y así conste en la sentencia","Cuando el paciente menor de edad no sea capaz intelectual ni emocionalmente de comprender el alcance de la intervención","Cuando el paciente no sea capaz de tomar decisiones, a criterio del médico responsable de la asistencia, o su estado físico o psíquico no le permita hacerse cargo de su situación.","Todas son correctas","","4","Todas son correctas","LEGISLACION","DERECHO"
"2019","3","El artículo 37 del Real Decreto legislativo 5/2015, texto refundido del estatuto básico de empleado público, señala tanto materias que son objeto de negociación, como otras que están excluidas de la obligación de negociación. De las cuatro materias que se relacionan, señale aquélla que el referido artículo excluye de la obligación de negociar:","Las propuestas sobre derechos sindicales y de participación.","Los planes de Previsión Social Complementaria.","Los poderes de dirección y control propios de la relación jerárquica.","Las normas que fijen los criterios y mecanismos generales en materia de evaluación del desempeño.","","3","Los poderes de dirección y control propios de la relación jerárquica.","LEGISLACION","DERECHO"
"2019","4","Cuando sea necesario garantizar el funcionamiento permanente y continuado de los centros sanitarios, de acuerdo con la Ley 55/2003, de 16 de diciembre del Estatuto Marco del personal estatutario de los servicios de salud, ¿qué tipo de nombramiento estatutario temporal se formalizará?","Eventual","Interino","Sustitución","Urgente","","1","Eventual","LEGISLACION","DERECHO"
"2019","5","Una enfermera con la condición de personal estatutario fijo accede a una plaza de formación sanitaria especializada mediante residencia en el mismo centro en el que ostenta la plaza en propiedad. De acuerdo con la Ley 55/2003, de 16 de diciembre, del Estatuto Marco del personal estatutario de los servicios de salud, ¿en qué situación administrativa queda en la plaza que ostenta en propiedad?","Servicio activo","Servicios bajo otro régimen jurídico","Excedencia por prestar servicios en el sector público","Servicios especiales","","4","Servicios especiales","LEGISLACION","DERECHO"
"2019","6","¿Cuál de los siguientes no es un órgano institucional del Principado de Asturias?:","El Presidente","La Junta General","La Diputación permanente","El Consejo de Gobierno","","3","La Diputación permanente","LEGISLACION","DERECHO"
"2019","7","La Ley 55/2003, de 16 de diciembre, del Estatuto Marco del personal estatutario de los servicios de salud, establece que toda actuación que suponga discriminación por razones de género es una falta disciplinaria:","Leve","Grave","Muy grave","De apercibimiento","","3","Muy grave","LEGISLACION","DERECHO"
"2019","8","Indique cuántos Delegados de Prevención debe tener una empresa con 1500 trabajadores según establece la Ley 31/1995, de 8 de noviembre, de Prevención de Riesgos Laborales:","3","4","5","6","","3","5","LEGISLACION","DERECHO"
"2019","9","La competencia de orientar y controlar la acción del Consejo de Gobierno del Principado de Asturias, según el Estatuto de Autonomía, recae en:","Los poderes públicos","El Tribunal Superior de Justicia","La Junta General del Principado de Asturias","Los medios de comunicación","","3","La Junta General del Principado de Asturias","LEGISLACION","DERECHO"
"2019","10","El transporte sanitario no urgente, sujeto a prescripción facultativa, por razones clínicas y con un nivel de aportación del usuario acorde al determinado para la prestación farmacéutica, ¿a qué modalidad de la cartera de servicios corresponde?","Cartera común suplementaria del Sistema Nacional de Salud","Cartera común básica de servicios asistenciales del Sistema Nacional de Salud","Cartera común de servicios accesorios del Sistema Nacional de Salud","Cartera de servicios complementaria de las comunidades autónomas","","1","Cartera común suplementaria del Sistema Nacional de Salud","LEGISLACION","DERECHO"
