"anio","numero","enunciado","opcion1","opcion2","opcion3","opcion4","opcion5","correcta"
"2000","1","¿Qué se entiende por índice eudísmico?:","La relación entre la actividad del enantiómero más potente y la del menos potente.","La relación entre la respuesta máxima debida a un fármaco y la debida al agonista estándar de su receptor.","En inhibidores enzimáticos, la relación entre la Ki del fármaco y la de un inhibidor patrón.","La relación ent aacividadd fármaco y la de su metabolito más activo. 5.La relación entre la concentración inhibidora50 y la dosis letal50.","","1"
"2000","2","i Cu dl de los siguientes compuestos es un punto de partida adecuado para la síntesis de fármacos del grupo de las fenotiazinas?:","Un derivado de4-aminopirimidina.","Un derivado de difenilamina.","Un derivado del etoximetilenmalonato de dietilo.","Un derivado de2-feniletilamina. 5.Un compuesto1,4-dicarbonílico.","","2"
"2000","3","i Cu dl es la naturaleza de la principal especie activa responsable de las propiedades antitumorales de los fármacos de la familia de los triazenoimidazoles (por ejemplo, la dacarbacina)?:","Una base de Schiff.","Un radical hidroxilo.","Un catión alquildiazonio.","Un catión aziridinio. 5. Un epóxido.","","3"
"2000","4","CudI de las siguientes manipulaciones estructurales incrementa la acción anabólica de las hormonas masculinas?:","Apertura del anillo B.","Introducción de un hidroxilo en1 1","Introducción de un metilo en16α.","Sustitución del carbono2 por oxigeno5.Aromatización del anillo A.","","4"
"2000","5","i Cu a I de los siguientes fármacos puede clasificarse como un inhibidor enzimático análogo al estado de transición?:","Fosfomicina.","Aspirina.","Metotrexato.","Fisostigmina. 5.Pentostatina.","","5"
"2000","6","i Cu a l de los siguientes fármacos actúa formando con su diana enlaces de tipo NO covalente?:","","Vigabatrina.","Capopril.","Tranilcipromina. 5.Mitomicina.","","3"
"2000","7","Indique cuál de las siguientes características de los anestésicos locales es FALSA:","Todos ellos tienen un grupo polar terminal, constituido por una sal de amonio cuaternaria, para que no atraviesen la barrera heratoencefálica.","Presentan un sistema aromático (zona lipófila) y un grupo electronegativo en posición intermedia.","Aunque se han descrito diversos grupos funcionales para el grupo electronegativo intermedio, los más interesantes son los ésteres y las amidas, siendo estas últimas las de mayor duración en la acción.","Es esencial que los sustituyentes del sistema aromático sean dadores de electrones y, en la serie de las amidas, deben estar situados en la posición orto para protegerlas de la hidrólisis metabólica. 5.La cadena carbonada entre el grupo polar terminal y el grupo electronegativo intermed está cotituida pordos res gupose tileno.","","1"
"2000","8","i Qu e se entiende por distómero de un fármaco que posee un centro quiral o estereogénico?:","El isómero minoritario del fármaco con un índice eudísmico igual a1.","El diastereómero del fármaco que tiene actividad farmacológica.","El componente de la mezcla racémica que posee una mayor actividad biológica.","El enantiómero menos activo. 5.El enantiómero más fácilmente metabolizable.","","4"
"2000","9","i Cu a I de los siguientes grupos estructurales de fármacos NO actúa como bloqueante de los canales de calcio?:","1,4-dihidropiridinas (nifedipina)","Fenotiazinas (clorpromazina).","Fenilalquilaminas (verapamilo).","Piperazinas (flunarizina). 5.Benzotiazepinas (diltiazem).","","2"
"2000","10","El fármaco antiulceroso denominado famotidina presenta en su estructura:","","Un heterociclo imidazólico.","Un heterociclo tiazólico.","Un grupo nitro. 5.Un heterociclo furánico.","","3"
"2000","11","La calidad de un monocromador depende de:","La pureza de la radiación de entrada.","Su capacidad para resolver longitudes de onda adyacentes.","Su poder de absorción de las radiaciones electromagnéticas.","La dispersión angular, que representa la variación del ángulo de reflexión o de refracción cuando la longitud de onda permanece constante. 5. Su capacidad de anular longitudes de onda próximas.","","5"
"2000","13","Cuando hablamos del genoma de una bacteria nos referimos a:","Cromosoma.","Cromosoma y plásmidos que contenga.","Cromosoma, plásmidos y transposones que contenga.","Cromosoma, plásmidos, transposones y secuencias de inserción que contenga. 5.Cromosoma, plásmidos, transposones, secuencias de inserción y virus que contenga","","5"
"2000","15","i Cu dl de los siguientes microorganismos participa como agente etiológico de vaginitis inespecífica o vaginosis?:","Candida albicans.","Gardnerella vaginalis.","Gonococo.","Herpes simple genital. 5.Treponema pallidum.","","2"
"2000","16","i Cu a l de las siguientes características de los Micoplasmas es FALSA?:","Carecen de pared celular2.Necesitan esteroles para su crecimiento. 3.Se multiplican por fisión binaria. 4.Pueden producir infecciones respiratorias y genitales. 5.Son sensibles a antibióticos-lactamicos.","","Se multiplican por fisión binaria.","Pueden producir infecciones respiratorias y genitales. 5.Son sensibles a antibióticos-lactamicos.","","5"
"2000","17","¿Cuál de los siguientes antibióticos NO es un macrólido?:","6,7-benzomorfanos.","4-fenilpiperidinas.","Derivados de la tebaína.","Morfinanos. 5.Fenilpropilaminas. 1.Claritromicina. 2.Eritromicina. 3.Espectinomicina. 4.Espiramicina. 5.Azitromicina.","","3"
"2000","18","Cu dl de los siguientes antirretrovirales es un inhibidor de la proteasa de HIV?:","Las antracilinas.","Mitomicina C.","Sulindaco (ácido cis-5-fluoro-2-metil-1-[ρ- (metilsulfinil)benciliden]indeno-3-acético).","Ciclofosfamida. 5.N,N-bis(2-cloroetil)-N-(ρmetilsulfinil)fenilamina.","","5"
